,sentence,joy,trust,fear,surprise,sadness,disgust,anger,anticipation
5381,I found out when I was young that I had famous relatives.,1,0,0,1,0,0,0,0
5382,I found out when I was young that I had famous relatives.,1,0,0,1,0,0,0,0
5383,I found out when I was young that I had famous relatives.,1,0,0,1,0,0,0,0
5384,I found out when I was young that I had famous relatives.,0,0,0,1,0,0,0,0
5385,I found out when I was young that I had famous relatives.,0,0,0,0,0,0,0,1
5386,I found out when I was young that I had famous relatives.,1,1,0,1,0,0,0,1
5387,"One was a very huge rock star, and we went to see him once.",1,1,0,1,0,0,0,1
5388,"One was a very huge rock star, and we went to see him once.",1,1,1,1,0,0,0,1
5389,"One was a very huge rock star, and we went to see him once.",1,0,0,0,0,0,0,0
5390,"One was a very huge rock star, and we went to see him once.",1,0,0,1,0,0,0,1
5391,"One was a very huge rock star, and we went to see him once.",0,0,0,1,0,0,0,1
5392,"One was a very huge rock star, and we went to see him once.",1,0,0,1,0,0,0,0
5393,"One was a very huge rock star, and we went to see him once.",1,0,0,1,0,0,0,1
5394,"One was a very huge rock star, and we went to see him once.",1,1,0,0,1,0,0,0
5395,"One was a very huge rock star, and we went to see him once.",1,0,0,1,0,0,0,1
5396,"He held me on his lap, but I kept getting down.",0,0,1,0,1,1,1,0
5397,"He held me on his lap, but I kept getting down.",1,1,1,1,1,1,1,1
5398,"He held me on his lap, but I kept getting down.",0,0,1,0,0,0,0,1
5399,"I didn't like him for some reason, and I was too little to understand.",0,0,1,0,1,1,1,0
5400,"I didn't like him for some reason, and I was too little to understand.",0,0,0,0,0,1,1,0
5401,"I didn't like him for some reason, and I was too little to understand.",0,0,1,0,0,0,0,0
5402,"I didn't like him for some reason, and I was too little to understand.",1,0,0,1,1,0,0,0
5403,"I didn't like him for some reason, and I was too little to understand.",0,0,0,0,1,0,0,0
5404,"I didn't like him for some reason, and I was too little to understand.",0,0,1,1,0,1,0,0
5405,I had no idea I was sitting on the lap of a legend.,0,0,0,1,0,0,0,0
5406,I had no idea I was sitting on the lap of a legend.,1,0,0,1,1,0,0,1
5407,I had no idea I was sitting on the lap of a legend.,1,0,0,1,0,0,0,1
5408,Gary called Carlin and asked to hang out.,1,1,0,0,0,0,0,1
5409,Gary called Carlin and asked to hang out.,0,1,1,0,0,0,0,1
5410,Gary called Carlin and asked to hang out.,1,0,0,0,0,0,0,1
5411,"Carlin agreed, but she misheard the time.",0,0,0,0,1,0,0,0
5412,"Carlin agreed, but she misheard the time.",0,0,0,0,1,1,1,1
5413,"Carlin agreed, but she misheard the time.",1,0,0,1,0,0,0,1
5414,"Carlin agreed, but she misheard the time.",0,0,1,1,1,0,1,1
5415,"Carlin agreed, but she misheard the time.",1,0,0,0,0,0,0,1
5416,"Carlin agreed, but she misheard the time.",0,0,0,1,1,0,1,1
5417,Gary went to meet her at eight o'clock.,0,1,0,0,1,0,0,0
5418,Gary went to meet her at eight o'clock.,1,1,0,0,0,0,0,1
5419,Gary went to meet her at eight o'clock.,0,1,0,0,1,1,1,1
5420,Gary went to meet her at eight o'clock.,1,1,1,1,1,0,1,1
5421,Gary went to meet her at eight o'clock.,0,0,0,0,1,0,1,1
5422,"Carlin didn't show up, because she thought he meant ten o'clock.",0,0,1,1,1,0,0,1
5423,"Carlin didn't show up, because she thought he meant ten o'clock.",0,0,0,0,1,1,1,0
5424,"Carlin didn't show up, because she thought he meant ten o'clock.",0,0,0,1,1,0,0,0
5425,"Carlin didn't show up, because she thought he meant ten o'clock.",0,1,0,0,1,0,0,0
5426,"Carlin didn't show up, because she thought he meant ten o'clock.",0,0,0,1,0,0,1,1
5427,"Carlin didn't show up, because she thought he meant ten o'clock.",0,0,0,0,1,0,0,0
5428,"Luckily, they called each other and worked out the mistake.",1,1,0,1,1,0,0,1
5429,"Luckily, they called each other and worked out the mistake.",1,1,1,0,1,0,0,1
5430,"Luckily, they called each other and worked out the mistake.",1,0,0,1,0,0,0,0
5431,"Luckily, they called each other and worked out the mistake.",1,1,0,1,0,0,0,0
5432,"Luckily, they called each other and worked out the mistake.",0,1,1,1,0,0,0,1
5433,"Luckily, they called each other and worked out the mistake.",1,1,0,0,0,0,0,1
5434,I stole a chocolate bar from the store.,0,0,1,0,0,1,0,1
5435,I stole a chocolate bar from the store.,0,0,1,0,0,1,0,1
5436,I stole a chocolate bar from the store.,0,0,1,0,0,0,0,1
5437,"When I tried to leave, a man told me to pay for it.",0,0,1,1,0,0,0,0
5438,"When I tried to leave, a man told me to pay for it.",0,0,1,1,0,0,0,0
5439,"When I tried to leave, a man told me to pay for it.",0,0,1,1,1,1,0,0
5440,"When I tried to leave, a man told me to pay for it.",0,0,1,1,0,0,0,0
5441,"When I tried to leave, a man told me to pay for it.",0,0,0,0,0,0,1,0
5442,"When I tried to leave, a man told me to pay for it.",0,0,1,0,0,1,1,1
5443,I said I didn't have any money but I was hungry.,0,0,1,0,1,1,0,0
5444,I said I didn't have any money but I was hungry.,0,0,1,0,1,1,0,0
5445,I said I didn't have any money but I was hungry.,0,0,1,1,1,0,0,1
5446,I said I didn't have any money but I was hungry.,0,0,0,1,0,0,1,0
5447,I said I didn't have any money but I was hungry.,0,0,0,1,1,0,1,1
5448,I said I didn't have any money but I was hungry.,0,0,1,1,0,0,0,1
5449,The man bought me the chocolate bar.,1,1,0,1,0,0,0,1
5450,The man bought me the chocolate bar.,1,1,0,1,0,0,0,0
5451,The man bought me the chocolate bar.,1,1,0,1,0,0,0,0
5452,The man bought me the chocolate bar.,0,0,0,0,1,1,0,0
5453,The man bought me the chocolate bar.,1,1,0,1,0,0,0,1
5454,The man bought me the chocolate bar.,0,1,0,1,0,0,0,0
5455,I ate the chocolate and thanked him for his kindness.,1,1,0,1,0,0,0,0
5456,I ate the chocolate and thanked him for his kindness.,1,1,0,0,0,0,0,0
5457,I ate the chocolate and thanked him for his kindness.,1,1,0,1,0,0,0,1
5458,I ate the chocolate and thanked him for his kindness.,1,1,0,0,1,0,0,0
5459,I ate the chocolate and thanked him for his kindness.,1,1,0,0,1,0,0,0
5460,I ate the chocolate and thanked him for his kindness.,1,1,0,1,0,0,0,0
5461,Gabriel beamed when his teacher complimented him on his grades.,1,0,0,1,0,0,0,0
5462,Gabriel beamed when his teacher complimented him on his grades.,1,0,0,0,0,0,0,0
5463,Gabriel beamed when his teacher complimented him on his grades.,1,0,0,0,0,0,0,1
5464,"The other kids were not impressed though, and called him teachers pet.",0,0,1,1,1,0,1,0
5465,"The other kids were not impressed though, and called him teachers pet.",0,0,0,0,1,0,0,0
5466,"The other kids were not impressed though, and called him teachers pet.",0,0,1,0,1,0,0,0
5467,"The other kids were not impressed though, and called him teachers pet.",0,0,0,0,0,1,1,0
5468,"The other kids were not impressed though, and called him teachers pet.",0,0,0,1,0,1,1,0
5469,"The other kids were not impressed though, and called him teachers pet.",0,0,0,0,0,1,1,0
5470,"Gabriel was sad, and went to the teacher to complain.",0,1,0,0,1,1,1,0
5471,"Gabriel was sad, and went to the teacher to complain.",0,0,0,0,1,0,0,1
5472,"Gabriel was sad, and went to the teacher to complain.",0,0,1,1,1,1,1,0
5473,"Gabriel was sad, and went to the teacher to complain.",1,1,1,1,1,0,0,1
5474,"Gabriel was sad, and went to the teacher to complain.",0,0,0,0,1,0,0,0
5475,"Gabriel was sad, and went to the teacher to complain.",0,0,0,1,0,1,1,0
5476,"The other kids just gave each other looks, further proving their point.",0,0,0,0,1,1,0,1
5477,"The other kids just gave each other looks, further proving their point.",0,0,1,0,0,1,1,0
5478,"The other kids just gave each other looks, further proving their point.",0,1,0,1,0,0,0,0
5479,Gabriel realized he was being a baby and decided to get bad grades.,0,0,0,0,1,1,0,0
5480,Gabriel realized he was being a baby and decided to get bad grades.,0,0,0,0,1,1,1,0
5481,Gabriel realized he was being a baby and decided to get bad grades.,0,0,0,0,0,1,1,1
5482,Gabriel realized he was being a baby and decided to get bad grades.,0,0,1,1,1,1,1,0
5483,Gabriel realized he was being a baby and decided to get bad grades.,0,0,0,0,0,1,1,0
5484,Gabriel realized he was being a baby and decided to get bad grades.,0,0,1,1,1,0,0,1
5485,Owen was at a school dance.,1,0,0,0,0,0,0,1
5486,Owen was at a school dance.,1,0,1,0,0,0,0,1
5487,He really liked a girl at the dance.,0,0,1,1,0,0,0,1
5488,He really liked a girl at the dance.,1,0,0,1,0,0,0,1
5489,He really liked a girl at the dance.,1,0,1,0,0,0,0,1
5490,He really liked a girl at the dance.,1,0,1,0,0,0,0,1
5491,He really liked a girl at the dance.,1,0,1,0,0,0,0,1
5492,He really liked a girl at the dance.,1,1,0,1,0,0,0,1
5493,Owen was trying to get the nerve to ask her to dance.,0,0,1,0,0,0,0,0
5494,Owen was trying to get the nerve to ask her to dance.,0,0,1,0,0,0,0,1
5495,Owen was trying to get the nerve to ask her to dance.,1,0,1,0,0,0,0,1
5496,He finally did get the nerve and walked up to her.,0,0,0,1,0,0,0,1
5497,He finally did get the nerve and walked up to her.,1,0,0,1,0,0,0,1
5498,He finally did get the nerve and walked up to her.,0,0,1,1,0,0,0,1
5499,He finally did get the nerve and walked up to her.,0,1,1,0,0,0,0,1
5500,He finally did get the nerve and walked up to her.,0,0,1,0,0,0,0,1
5501,The dance was ending and he was mad he didn't ask sooner.,0,0,1,0,1,1,0,0
5502,The dance was ending and he was mad he didn't ask sooner.,0,0,1,0,1,0,1,0
5503,The dance was ending and he was mad he didn't ask sooner.,0,0,0,0,1,1,0,0
5504,Harry wore high top shoes before going to the roller coaster park.,1,1,0,0,0,0,0,1
5505,Harry wore high top shoes before going to the roller coaster park.,0,0,0,0,0,0,0,1
5506,Harry wore high top shoes before going to the roller coaster park.,0,0,0,0,0,0,0,1
5507,He waited with his brother in line to one of the roller coasters.,1,0,1,0,0,0,0,1
5508,He waited with his brother in line to one of the roller coasters.,1,0,0,0,0,0,0,1
5509,He waited with his brother in line to one of the roller coasters.,1,0,0,0,0,0,0,1
5510,He waited with his brother in line to one of the roller coasters.,1,0,1,0,0,0,0,1
5511,He waited with his brother in line to one of the roller coasters.,1,1,1,1,0,0,0,1
5512,He waited with his brother in line to one of the roller coasters.,1,0,0,0,0,0,0,0
5513,The ticket vendor measured Harry's height.,0,0,1,1,0,0,0,1
5514,The ticket vendor measured Harry's height.,0,0,0,0,0,0,0,0
5515,The ticket vendor measured Harry's height.,0,0,0,0,0,0,0,0
5516,The ticket vendor measured Harry's height.,1,1,0,0,0,0,0,1
5517,The ticket vendor measured Harry's height.,0,0,1,0,0,0,0,1
5518,The ticket vendor measured Harry's height.,1,0,1,0,0,0,0,1
5519,He told Harry that he met the bare minimum height requirement.,1,0,0,0,0,0,0,1
5520,He told Harry that he met the bare minimum height requirement.,0,0,0,0,0,0,0,0
5521,He told Harry that he met the bare minimum height requirement.,0,0,0,0,0,0,0,0
5522,He told Harry that he met the bare minimum height requirement.,1,0,0,1,0,0,0,1
5523,He told Harry that he met the bare minimum height requirement.,1,0,0,1,0,0,0,1
5524,He told Harry that he met the bare minimum height requirement.,1,0,0,1,0,0,0,0
5525,"However, he allowed Harry to enter the roller coaster.",1,1,0,0,0,0,0,0
5526,"However, he allowed Harry to enter the roller coaster.",0,1,0,0,0,0,0,0
5527,"However, he allowed Harry to enter the roller coaster.",1,1,0,0,0,0,0,0
5528,"However, he allowed Harry to enter the roller coaster.",1,0,1,1,0,0,0,1
5529,"However, he allowed Harry to enter the roller coaster.",1,0,0,0,0,0,0,1
5530,"However, he allowed Harry to enter the roller coaster.",1,1,1,1,0,0,0,1
5531,Liza was playing volleyball at her college.,1,0,0,0,0,0,0,0
5532,Liza was playing volleyball at her college.,1,0,1,1,0,0,0,1
5533,Liza was playing volleyball at her college.,1,1,0,0,0,0,0,0
5534,She was tall and thin.,1,0,0,0,0,0,0,0
5535,She was tall and thin.,1,1,0,0,0,0,0,1
5536,"When she played abroad, everyone just took pictures of her.",0,0,1,1,1,1,1,0
5537,"When she played abroad, everyone just took pictures of her.",0,0,0,0,0,1,1,0
5538,"When she played abroad, everyone just took pictures of her.",1,0,0,1,0,0,0,0
5539,Liza was frustrated they cared more about her appearance.,0,0,1,1,1,1,1,0
5540,Liza was frustrated they cared more about her appearance.,0,0,0,1,0,1,1,0
5541,Liza was frustrated they cared more about her appearance.,0,0,0,0,0,1,1,0
5542,Liza was frustrated they cared more about her appearance.,1,0,0,0,0,0,0,0
5543,Liza was frustrated they cared more about her appearance.,0,0,0,0,0,0,0,0
5544,Liza was frustrated they cared more about her appearance.,1,0,0,0,0,0,0,1
5545,"So at the next game, she wore clown makeup.",1,1,0,1,0,0,1,1
5546,"So at the next game, she wore clown makeup.",1,0,0,0,1,1,1,1
5547,"So at the next game, she wore clown makeup.",1,0,1,1,1,1,1,1
5548,"So at the next game, she wore clown makeup.",0,0,0,1,1,0,0,0
5549,"So at the next game, she wore clown makeup.",1,1,0,1,0,0,0,1
5550,Amy was going to visit her friend who just moved.,1,0,0,0,0,0,0,1
5551,Amy was going to visit her friend who just moved.,1,0,0,0,0,0,0,1
5552,Amy was going to visit her friend who just moved.,1,1,0,1,0,0,0,1
5553,Amy was going to visit her friend who just moved.,1,0,0,1,0,0,0,1
5554,Amy was going to visit her friend who just moved.,1,0,0,0,0,0,0,0
5555,Amy was going to visit her friend who just moved.,1,1,0,0,0,0,0,1
5556,She looked up the address and thought she knew how to get there.,0,0,0,1,0,0,0,1
5557,She looked up the address and thought she knew how to get there.,0,1,0,0,0,0,0,1
5558,She looked up the address and thought she knew how to get there.,1,1,0,0,0,0,0,1
5559,She looked up the address and thought she knew how to get there.,1,1,0,1,0,0,0,1
5560,She looked up the address and thought she knew how to get there.,0,0,0,0,1,0,0,0
5561,She looked up the address and thought she knew how to get there.,1,1,0,0,0,0,0,1
5562,While she was driving she realized that she was lost!,0,0,1,1,1,1,1,1
5563,While she was driving she realized that she was lost!,0,0,1,0,0,0,0,0
5564,While she was driving she realized that she was lost!,0,0,1,0,0,0,0,1
5565,Luckily she had her phone and she used the GPS to get back on track.,0,0,1,1,0,0,0,1
5566,Luckily she had her phone and she used the GPS to get back on track.,0,1,0,0,0,0,0,0
5567,Luckily she had her phone and she used the GPS to get back on track.,1,0,0,0,0,0,0,1
5568,In the end she found her way to her friend's new house.,1,1,0,0,0,0,0,1
5569,In the end she found her way to her friend's new house.,1,0,0,0,0,0,0,0
5570,In the end she found her way to her friend's new house.,1,0,0,0,0,0,0,0
5571,In the end she found her way to her friend's new house.,1,1,0,0,0,0,0,1
5572,In the end she found her way to her friend's new house.,1,0,0,0,0,0,0,0
5573,In the end she found her way to her friend's new house.,1,0,0,0,0,0,0,0
5574,John felt like life had no meaning.,0,0,1,0,1,0,0,0
5575,John felt like life had no meaning.,0,0,1,0,1,1,1,0
5576,John felt like life had no meaning.,0,0,1,0,1,1,0,0
5577,John decided to go look for meaning.,0,1,1,0,0,0,0,1
5578,John decided to go look for meaning.,0,0,0,0,1,0,0,1
5579,John decided to go look for meaning.,0,0,0,0,0,0,0,1
5580,He studied all sorts of religions at various temples.,1,0,0,0,0,0,0,1
5581,He studied all sorts of religions at various temples.,0,0,0,0,0,0,0,1
5582,He studied all sorts of religions at various temples.,1,1,0,0,0,0,0,0
5583,John decided he liked Christianity the best.,1,1,0,0,0,0,0,1
5584,John decided he liked Christianity the best.,1,1,0,0,0,0,0,1
5585,John decided he liked Christianity the best.,1,1,0,0,0,0,0,0
5586,John converted and now his life had meaning.,1,1,0,1,0,0,0,1
5587,John converted and now his life had meaning.,1,1,1,0,0,0,0,1
5588,John converted and now his life had meaning.,1,1,0,0,0,0,0,0
5589,At the show I noticed I was the only guy in the crowd.,0,0,1,1,0,0,0,1
5590,At the show I noticed I was the only guy in the crowd.,0,0,0,1,0,0,0,0
5591,At the show I noticed I was the only guy in the crowd.,0,0,0,1,0,0,0,0
5592,At the show I noticed I was the only guy in the crowd.,1,1,1,1,0,0,0,1
5593,At the show I noticed I was the only guy in the crowd.,1,0,0,0,0,0,0,0
5594,At the show I noticed I was the only guy in the crowd.,1,0,0,1,0,0,0,1
5595,A few women gave me dirty looks.,0,0,1,0,1,1,1,0
5596,A few women gave me dirty looks.,0,0,1,0,1,0,1,0
5597,A few women gave me dirty looks.,0,0,0,0,0,0,0,0
5598,A few women gave me dirty looks.,0,0,1,1,1,1,1,1
5599,A few women gave me dirty looks.,0,0,1,1,0,1,1,1
5600,A few women gave me dirty looks.,0,0,0,0,0,1,1,0
5601,A few women gave me dirty looks.,0,0,0,1,1,1,1,1
5602,A few women gave me dirty looks.,0,1,0,1,1,1,1,1
5603,I just smiled and kept dancing and singing along.,0,0,1,1,0,0,0,1
5604,I just smiled and kept dancing and singing along.,1,0,0,0,0,0,0,0
5605,I just smiled and kept dancing and singing along.,1,1,0,0,1,0,0,1
5606,I just smiled and kept dancing and singing along.,0,0,1,0,0,1,1,1
5607,I just smiled and kept dancing and singing along.,0,0,1,0,0,0,0,0
5608,I just smiled and kept dancing and singing along.,0,0,0,1,0,1,0,0
5609,At one point I screamed out a song suggestion.,1,0,0,0,0,0,0,1
5610,At one point I screamed out a song suggestion.,1,0,0,0,0,0,0,1
5611,At one point I screamed out a song suggestion.,0,0,0,0,0,1,1,0
5612,At one point I screamed out a song suggestion.,0,0,1,1,1,1,1,0
5613,At one point I screamed out a song suggestion.,0,0,0,0,0,1,1,0
5614,At one point I screamed out a song suggestion.,0,0,0,1,0,1,1,0
5615,A lot of people looked at me then.,1,0,0,1,0,0,0,1
5616,A lot of people looked at me then.,0,0,1,1,0,0,0,0
5617,A lot of people looked at me then.,0,0,0,1,1,1,1,0
5618,A lot of people looked at me then.,0,0,0,0,0,1,1,0
5619,A lot of people looked at me then.,0,0,0,1,0,0,0,1
5620,A lot of people looked at me then.,1,1,0,1,0,0,0,1
5621,A lot of people looked at me then.,0,0,0,0,0,1,1,0
5622,A lot of people looked at me then.,0,0,1,0,0,1,1,0
5623,A lot of people looked at me then.,1,1,0,0,0,0,0,0
5624,Alex and his son Cole walked to the theater to watch a movie.,1,1,0,0,0,0,0,1
5625,Alex and his son Cole walked to the theater to watch a movie.,1,1,0,0,0,0,0,1
5626,Alex and his son Cole walked to the theater to watch a movie.,1,0,0,0,0,0,0,1
5627,Alex and his son Cole walked to the theater to watch a movie.,1,0,0,0,0,0,0,1
5628,Alex and his son Cole walked to the theater to watch a movie.,1,1,0,0,0,0,0,1
5629,Alex and his son Cole walked to the theater to watch a movie.,1,1,0,0,0,0,0,1
5630,Cole jumped into a puddle of mud by the entrance.,1,0,0,1,0,0,0,1
5631,Cole jumped into a puddle of mud by the entrance.,0,0,1,0,1,1,1,0
5632,Cole jumped into a puddle of mud by the entrance.,0,0,0,1,0,0,1,0
5633,Alex became angry and scolded Cole.,0,0,1,1,0,0,0,1
5634,Alex became angry and scolded Cole.,0,0,1,0,1,0,0,0
5635,Alex became angry and scolded Cole.,0,0,1,1,1,0,0,0
5636,Alex became angry and scolded Cole.,0,0,0,0,0,0,1,0
5637,Alex became angry and scolded Cole.,0,0,0,0,0,1,1,0
5638,Alex became angry and scolded Cole.,0,0,0,0,0,1,1,0
5639,"Alex called his wife to pick up Cole, who now had soiled shoes.",0,1,1,0,1,1,0,0
5640,"Alex called his wife to pick up Cole, who now had soiled shoes.",0,0,1,0,1,0,0,0
5641,"Alex called his wife to pick up Cole, who now had soiled shoes.",0,0,0,0,1,0,0,0
5642,"Alex called his wife to pick up Cole, who now had soiled shoes.",0,0,0,1,1,1,1,0
5643,"Alex called his wife to pick up Cole, who now had soiled shoes.",0,0,0,0,1,0,1,0
5644,"Alex called his wife to pick up Cole, who now had soiled shoes.",0,1,1,1,1,1,1,1
5645,"After Cole was picked up, Alex decided to watch a movie by himself.",0,0,0,1,0,1,1,0
5646,"After Cole was picked up, Alex decided to watch a movie by himself.",1,0,0,0,0,0,0,0
5647,"After Cole was picked up, Alex decided to watch a movie by himself.",0,0,0,0,1,1,1,0
5648,Kelly heard about Ella's New Year's party.,0,1,1,1,1,0,1,0
5649,Kelly heard about Ella's New Year's party.,1,0,0,1,0,0,0,1
5650,Kelly heard about Ella's New Year's party.,1,0,0,1,0,0,0,0
5651,Kelly heard about Ella's New Year's party.,1,0,0,0,0,0,0,1
5652,Kelly heard about Ella's New Year's party.,1,0,0,1,0,0,0,1
5653,She got all excited to go.,1,1,0,0,0,0,0,1
5654,She got all excited to go.,1,1,0,1,0,0,0,1
5655,She got all excited to go.,1,0,0,0,0,0,0,1
5656,She got all excited to go.,1,1,0,0,0,0,0,1
5657,She got all excited to go.,1,0,0,0,0,0,0,1
5658,She got all excited to go.,1,1,0,0,0,0,0,1
5659,Then yesterday Maggie told her she was not invited.,0,1,0,1,1,1,1,0
5660,Then yesterday Maggie told her she was not invited.,0,0,1,0,1,1,1,0
5661,Then yesterday Maggie told her she was not invited.,0,0,0,1,1,1,1,0
5662,Then yesterday Maggie told her she was not invited.,0,0,0,1,1,0,0,1
5663,Then yesterday Maggie told her she was not invited.,0,0,1,0,1,1,1,0
5664,Then yesterday Maggie told her she was not invited.,0,0,0,1,1,1,1,0
5665,Then yesterday Maggie told her she was not invited.,0,0,0,1,1,1,1,0
5666,Then yesterday Maggie told her she was not invited.,0,0,0,1,1,0,1,0
5667,Then yesterday Maggie told her she was not invited.,0,0,0,1,1,0,0,0
5668,Kelly immediately was upset.,0,0,0,1,1,1,1,0
5669,Kelly immediately was upset.,0,0,1,1,1,1,1,0
5670,Kelly immediately was upset.,0,0,1,1,1,1,1,0
5671,Kelly immediately was upset.,0,0,0,1,1,0,0,1
5672,Kelly immediately was upset.,0,0,0,0,1,0,0,0
5673,Kelly immediately was upset.,1,0,1,0,1,1,1,0
5674,But she decided to have her own party instead.,0,0,0,0,0,0,0,1
5675,But she decided to have her own party instead.,0,0,0,0,1,1,1,0
5676,But she decided to have her own party instead.,1,0,0,0,0,0,0,1
5677,Jaiden was nervous about moving to a new home.,0,0,1,1,0,0,1,0
5678,Jaiden was nervous about moving to a new home.,0,0,1,0,0,0,0,1
5679,Jaiden was nervous about moving to a new home.,0,0,1,0,1,0,1,1
5680,He thought about all the friends he would miss.,0,0,0,1,1,0,0,0
5681,He thought about all the friends he would miss.,0,0,1,0,1,0,0,1
5682,He thought about all the friends he would miss.,0,0,0,0,1,0,0,0
5683,He thought about all the friends he would miss.,0,0,1,0,1,0,1,0
5684,He thought about all the friends he would miss.,0,0,1,0,0,0,0,1
5685,He thought about all the friends he would miss.,0,0,1,0,1,0,0,1
5686,"On the day of the big move, Jaiden saw many children playing outside.",0,0,1,0,1,0,0,0
5687,"On the day of the big move, Jaiden saw many children playing outside.",0,0,1,0,1,0,0,1
5688,"On the day of the big move, Jaiden saw many children playing outside.",1,1,1,0,1,0,0,1
5689,The children immediately invited Jaden to play with them.,0,0,0,0,1,0,0,0
5690,The children immediately invited Jaden to play with them.,1,1,0,1,0,0,0,1
5691,The children immediately invited Jaden to play with them.,1,1,0,1,0,0,0,0
5692,The children immediately invited Jaden to play with them.,1,1,0,0,0,0,0,1
5693,The children immediately invited Jaden to play with them.,1,1,0,0,0,0,0,1
5694,The children immediately invited Jaden to play with them.,1,1,0,1,0,0,0,1
5695,The children immediately invited Jaden to play with them.,0,0,1,0,0,0,0,1
5696,The children immediately invited Jaden to play with them.,1,0,0,1,0,0,0,1
5697,The children immediately invited Jaden to play with them.,1,1,0,1,0,0,0,1
5698,"Jaiden played into the afternoon, and felt his nervousness slip away.",0,0,0,0,1,0,0,0
5699,"Jaiden played into the afternoon, and felt his nervousness slip away.",1,0,0,0,0,0,0,1
5700,"Jaiden played into the afternoon, and felt his nervousness slip away.",1,1,1,0,0,0,0,1
5701,"Jaiden played into the afternoon, and felt his nervousness slip away.",1,1,0,1,0,0,0,1
5702,"Jaiden played into the afternoon, and felt his nervousness slip away.",1,0,0,0,0,0,0,0
5703,"Jaiden played into the afternoon, and felt his nervousness slip away.",1,0,0,0,0,0,0,0
5704,"Jaiden played into the afternoon, and felt his nervousness slip away.",1,1,0,0,0,0,0,0
5705,"Jaiden played into the afternoon, and felt his nervousness slip away.",1,1,0,1,0,0,0,0
5706,"Jaiden played into the afternoon, and felt his nervousness slip away.",1,1,0,0,0,0,0,0
5707,My sister in law Vera bought a dryer ten years ago.,0,0,0,0,1,1,0,0
5708,My sister in law Vera bought a dryer ten years ago.,1,0,0,0,0,0,0,0
5709,Her husband has yet to hook it up.,0,0,0,1,1,0,1,1
5710,Her husband has yet to hook it up.,0,0,1,1,1,1,1,0
5711,He is cheap and does not want to have to rewire the house.,0,0,0,0,0,0,0,0
5712,He is cheap and does not want to have to rewire the house.,0,1,0,0,0,0,1,0
5713,He is cheap and does not want to have to rewire the house.,0,0,1,1,1,1,1,1
5714,Vera's therapist said hooking up the dryer would be therapeutic.,1,1,0,0,0,0,0,1
5715,Vera's therapist said hooking up the dryer would be therapeutic.,0,0,0,0,0,0,0,0
5716,Vera's therapist said hooking up the dryer would be therapeutic.,0,1,0,0,0,0,0,0
5717,Vera's therapist said hooking up the dryer would be therapeutic.,0,0,1,0,0,0,0,1
5718,Vera's therapist said hooking up the dryer would be therapeutic.,0,0,0,0,0,0,0,0
5719,Vera's therapist said hooking up the dryer would be therapeutic.,0,0,0,0,0,0,0,0
5720,Vera's husband still is not hooking up the dryer.,0,0,1,1,1,1,1,1
5721,Vera's husband still is not hooking up the dryer.,0,0,0,0,1,1,0,1
5722,Vera's husband still is not hooking up the dryer.,0,0,0,0,0,0,1,0
5723,Jim enjoys sitting on his porch chewing on his days off.,1,0,0,0,0,0,0,0
5724,Jim enjoys sitting on his porch chewing on his days off.,1,0,0,0,0,0,0,0
5725,Jim enjoys sitting on his porch chewing on his days off.,1,0,0,0,0,0,0,0
5726,He has two days off coming up.,1,0,0,0,0,0,0,1
5727,He has two days off coming up.,1,0,0,0,0,0,0,1
5728,Jim Can't wait for his days off he thinks about it at work.,1,0,0,0,0,0,0,1
5729,Jim Can't wait for his days off he thinks about it at work.,1,0,0,0,0,0,0,1
5730,Jim Can't wait for his days off he thinks about it at work.,0,0,0,0,0,0,0,1
5731,A co-worker asks him if he can cover his shift tomorrow?,0,0,1,1,1,0,1,0
5732,A co-worker asks him if he can cover his shift tomorrow?,0,0,0,0,0,1,0,0
5733,A co-worker asks him if he can cover his shift tomorrow?,0,0,0,1,0,1,0,0
5734,A co-worker asks him if he can cover his shift tomorrow?,0,0,0,1,1,1,1,0
5735,"Jim says yes, he will have to wait another day for his day off.",0,0,0,0,1,0,0,0
5736,"Jim says yes, he will have to wait another day for his day off.",1,1,0,0,0,0,0,0
5737,"Jim says yes, he will have to wait another day for his day off.",0,0,1,0,1,1,1,1
5738,"Jim says yes, he will have to wait another day for his day off.",1,1,0,0,0,0,0,1
5739,"Jim says yes, he will have to wait another day for his day off.",1,1,0,0,0,0,0,0
5740,"Jim says yes, he will have to wait another day for his day off.",1,1,0,1,0,0,0,0
5741,Fred was a high school student at a small school.,0,0,1,0,1,0,0,0
5742,Fred was a high school student at a small school.,0,0,1,0,0,0,0,1
5743,He decided to take metal shop as his elective.,0,0,0,0,0,0,0,1
5744,He decided to take metal shop as his elective.,1,1,0,0,0,0,0,1
5745,He decided to take metal shop as his elective.,1,0,0,0,0,0,0,1
5746,He decided to take metal shop as his elective.,1,1,0,0,0,0,0,1
5747,He decided to take metal shop as his elective.,1,0,0,0,0,0,0,1
5748,He decided to take metal shop as his elective.,1,1,0,0,0,0,0,1
5749,He worked very hard and listened to his instructor.,1,1,0,0,0,0,0,0
5750,He worked very hard and listened to his instructor.,0,0,0,0,0,0,0,1
5751,He worked very hard and listened to his instructor.,1,0,0,0,0,0,0,0
5752,He worked very hard and listened to his instructor.,1,1,0,0,0,0,0,1
5753,He worked very hard and listened to his instructor.,1,1,0,0,0,0,0,1
