,emotion,plutchik,selection0,selection1,label
2431,"['disappointed', 'sad', 'upset', 'annoyed', 'protective']","{'joy': 0, 'trust': 0, 'fear': 1, 'surprise': 1, 'sadness': 1, 'disgust': 0, 'anger': 0, 'anticipation': 0}","However as she went to eat, her milk was sour!",Kim was very protective of her camera and said no.,1
2432,"['normal', 'happy', 'emotionless']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}","Bill, while taking a walk, came to a wide street.",The kite flew away.,0
2433,"['excited', 'happy', 'glad', 'surprised', 'hopeful']","{'joy': 3, 'trust': 0, 'fear': 0, 'surprise': 2, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",He drove a hardtop convertible.,She saw a doll selling on eBay for $10.,1
2434,['happy'],"{'joy': 3, 'trust': 2, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 3}",Julia was newly pregnant and very excited.,He asked his wife to return it to the store for him.,0
2435,"['determined', 'weak', 'motivated', 'desire']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",Ida wanted to get stronger.,Kate always recycles.,0
2436,"['determined', 'excited', 'creative']","{'joy': 2, 'trust': 0, 'fear': 1, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 3}",Kelly wanted to build a treehouse.,I felt like it was too boring.,0
2437,"['embarrassed', 'sad', 'upset']","{'joy': 0, 'trust': 0, 'fear': 2, 'surprise': 2, 'sadness': 2, 'disgust': 1, 'anger': 1, 'anticipation': 0}","Then, we heard a loud smack and a child crying.",Their parents blamed Jane and she was very ashamed.,1
2438,"['excited', 'anxious', 'loved', 'positive', 'proud', 'pleased']","{'joy': 3, 'trust': 1, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",Jordan's mom is happy to see her little girl grow up.,I needed a cast for my foot.,0
2439,"['excited', 'happy', 'anticipation']","{'joy': 2, 'trust': 2, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}","Finally, he stopped by a retailer to buy some party decorations.",My old case was a charging case but I dropped it in the mud.,0
2440,"['relieved', 'relaxed']","{'joy': 2, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",Rod noticed his wallet when he got home from work.,It was great.,1
2441,"['eager', 'happy', 'competitive', 'relieved']","{'joy': 2, 'trust': 2, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",They agreed to a truce and began to train together for the race.,He looks up local dance schools.,0
2442,"['happy', 'excited', 'enamored', 'successful']","{'joy': 3, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}",Until Ursula fell in love and didn't want to play pranks anymore.,Bill and Monica took a trip to France.,1
2443,"['disappointed', 'anticipation', 'sad', 'upset', 'excited']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 1, 'sadness': 1, 'disgust': 0, 'anger': 0, 'anticipation': 1}",My mom lost last year.,The grocery was out of lettuce so I skipped it.,0
2444,"['happy', 'developing', 'focused']","{'joy': 1, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",Vick found one and practiced for months.,This year he chose the Choo Choo Dinner for his meal.,0
2445,"['happy', 'excited', 'pleased', 'positive']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}","The cranes are out of her hand, and she enjoyed it very much.",Gary was not pleased with the operation of his new laptop at all.,0
2446,"['thankful', 'happy', 'grateful', 'cared']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",They were given snacks and drinks.,Mary did not have time to wash his clothes.,0
2447,"['happy', 'good']","{'joy': 3, 'trust': 1, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 3}",She was supposed to get a rather large refund check.,He bought some house plants.,0
2448,"['shock', 'fear', 'positive', 'afraid']","{'joy': 1, 'trust': 1, 'fear': 1, 'surprise': 2, 'sadness': 1, 'disgust': 1, 'anger': 1, 'anticipation': 1}",The car turned and struck Roger on his bike!,Susan loved her job teaching and did very well at it.,0
2449,"['interested', 'eager', 'nervous']","{'joy': 2, 'trust': 1, 'fear': 1, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",Bea begged her mom for a puppy.,Juanita had always wanted to learn how to play the flute.,1
2450,"['embarrassed', 'happy', 'ashamed', 'shocked', 'surprised', 'anger', 'worried']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 2, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}","Without realizing it wasn't her, John leaned in to give her a hug.",Liza was frustrated they cared more about her appearance.,0
2451,"['aggravated', 'angry', 'hate', 'sad', 'saddened', 'rejected', 'hurt']","{'joy': 0, 'trust': 0, 'fear': 1, 'surprise': 1, 'sadness': 1, 'disgust': 0, 'anger': 2, 'anticipation': 0}",John went out to the lake to go fishing one morning.,Hannah told Brad that she hated him.,1
2452,"['scared', 'sad', 'frightened', 'shocked']","{'joy': 0, 'trust': 0, 'fear': 3, 'surprise': 2, 'sadness': 2, 'disgust': 1, 'anger': 1, 'anticipation': 0}",Something he never had was those sausages you would see.,The tornado was one of the harshest in the town's history.,1
2453,"['relieved', 'content', 'comfortable']","{'joy': 2, 'trust': 0, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}",The player who runs out of time loses.,The cool air from outside balanced out the heat.,1
2454,"['cautious', 'competitive', 'expectation', 'nervous']","{'joy': 1, 'trust': 0, 'fear': 1, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}","They were both fast, and both wanted to win first prize at the race.",A nice man walked up to her and called her beautiful.,0
2455,"['surprised', 'oblivious', 'bad', 'anxious', 'sorry', 'guilty']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 1, 'sadness': 1, 'disgust': 0, 'anger': 0, 'anticipation': 0}",It would be her last show before she graduated.,Josh didn't realize the knife was in the sink.,1
2456,"['upset', 'worried', 'jealous', 'overwhelmed', 'sad', 'disappointed', 'shocked', 'surprised', 'frustrated', 'loved', 'spunky']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 1, 'sadness': 1, 'disgust': 1, 'anger': 1, 'anticipation': 1}",Training the dog took a lot more time than Josh had thought.,But she was kept so busy she didn't have much time for her family.,0
2457,"['anxious', 'hungry', 'anticipation']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 1, 'anticipation': 2}",We were running down our street when we began to feel hungry.,His dad beat him three games in a row.,0
2458,"['happy', 'relieved', 'content', 'overwhelmed']","{'joy': 3, 'trust': 0, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",He checked the mailbox everyday hoping for the big envelope.,John couldn't believe the sight and he was brought to tears.,1
2459,"['refreshed', 'relaxed', 'satisfied']","{'joy': 2, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}","Then, he got all clean.",Desperate I joined a weight loss study.,0
2460,"['eager', 'exited', 'excited', 'happy', 'thrilled']","{'joy': 2, 'trust': 0, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 3}",Everyone she showed loved it.,They ran over there quickly.,1
2461,"['happy', 'surprised', 'excited']","{'joy': 2, 'trust': 0, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",Caleb got his first car for his 16th birthday.,Gene told his son that he did the same thing at his grandson's age.,0
2462,"['loving', 'happy', 'satisfied', 'content']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",Her parents told her that she shouldn't do that.,Gene's grandson loved playing in the dirt at the end of the driveway.,1
2463,"['guilty', 'troubled', 'angry', 'investigative', 'informed']","{'joy': 0, 'trust': 0, 'fear': 1, 'surprise': 1, 'sadness': 1, 'disgust': 1, 'anger': 0, 'anticipation': 2}",They didn't have anything to do.,As the crowd cleared Gina noticed her sisters guilty expression.,1
2464,"['heartbroken', 'satisfied', 'upset', 'drained', 'justified']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 1, 'sadness': 1, 'disgust': 0, 'anger': 0, 'anticipation': 1}",He wanted to take some time and focus on his job.,She did well in all of her history classes is high school.,0
2465,"['frustrated', 'stubborn']","{'joy': 0, 'trust': 0, 'fear': 1, 'surprise': 1, 'sadness': 2, 'disgust': 1, 'anger': 2, 'anticipation': 2}","He would not settle for a lesser, non-everything bagel.",She had to make a collage.,0
2466,['sick'],"{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 2, 'disgust': 2, 'anger': 0, 'anticipation': 0}",His stomach felt bad.,Nero was startled at first but then enjoyed every minute of the test.,0
2467,"['happy', 'passionate']","{'joy': 3, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}",Stevens loved to swim.,She grabbed it from me and reprimanded me from going back there.,0
2468,"['happy', 'calm']","{'joy': 1, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",He also loved to drink and drive.,He put them all on his USB drive.,1
2469,"['happy', 'excited', 'satisfied']","{'joy': 3, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",We went to a restaurant near our home.,"When Joe was eight Year's old, his family moved to the big city.",0
2470,"['positive', 'hopeful']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",She hoped to one day star in a reality show of her own.,Sandy did not want her friends to know she was afraid of the dark.,0
2471,"['excited', 'good']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",Tucker missed the end of the movie he was watching.,She drank a soda before she left.,1
2472,['proud'],"{'joy': 3, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",He had brought his metal detector.,June was always top of her class.,1
2473,"['conflicted', 'frustrated', 'annoyed']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 1, 'anticipation': 2}",But they couldn't agree on a costume!,Gerald suddenly had the urge to make a podcast.,0
2474,"['upset', 'annoyed']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 2, 'sadness': 2, 'disgust': 1, 'anger': 2, 'anticipation': 1}",It was the jar of pickles.,"When he picked it up, the screen was blank.",0
2475,"['tired', 'hurried']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 1, 'disgust': 1, 'anger': 1, 'anticipation': 0}",At checkout she was tired so she went quickly.,He showed this by approaching girls in bars every night.,0
2476,"['satisfied', 'trusting', 'excited', 'ecstatic']","{'joy': 2, 'trust': 2, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 3}",They took him to look at dogs.,She went to four different shops.,0
2477,"['enthusiastic', 'amazed', 'excited']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 2, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 3}",Anna was excited to find out that her new job would be in Australia.,Gerald applied at many places until he got a cashier job.,0
2478,"['excited', 'determined', 'confident']","{'joy': 0, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",Lily was forced to separate Zeus and Zeke.,Jim was headed south.,1
2479,"['longing', 'desire', 'determined']","{'joy': 2, 'trust': 2, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}","Deep down, she didn't want to be a lawyer as she had strong morals.",I walked to the train station.,1
2480,"['fear', 'cautious', 'threatened']","{'joy': 0, 'trust': 0, 'fear': 2, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}",He recommended they play tic tac toe.,I noticed a merging sign several feet away on the highway.,1
2481,"['surprised', 'conflicted', 'confused', 'annoyed', 'silly', 'embarrassed']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 2, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}","The waitress gave him the wrong bill, which was half the total.",He got started planting his crops.,0
2482,"['hungry', 'calm']","{'joy': 1, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",When I got into the water I realized that it was warmer than the air.,"After a few minutes, he decided to order pizza.",1
2483,"['gratified', 'anticipatory', 'satisfied']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}","After a month went by, Lebron had made a good amount of money.",He was excited to take it off road.,0
2484,"['hunger', 'busy', 'excited']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",He thanked me and told me he would repay the favor.,She placed the chicken in one place and prepared to make seasoning.,1
2485,"['worry', 'normal']","{'joy': 0, 'trust': 0, 'fear': 1, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",In the bathroom she took off her jacket and left it on a chair.,"When I ate a small amount of the soup, I asked what it's made of.",0
2486,"['hopeful', 'inspired', 'enthusiastic', 'excited']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 3}",Ben was at the park.,It was there I'd achieve my dreams of being an engineer.,1
2487,"['depressed', 'sad', 'defeated']","{'joy': 0, 'trust': 0, 'fear': 2, 'surprise': 1, 'sadness': 3, 'disgust': 2, 'anger': 1, 'anticipation': 0}",The owner was old and tired and had put the shop up to sell.,Ralph decided he wanted fresh turkey for Thanksgiving dinner.,0
2488,"['responsible', 'giving', 'intelligent']","{'joy': 0, 'trust': 2, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}",I had my plan notarized by a notary republic.,Finally Steven is able to adopt a child.,0
2489,"['satisfied', 'accomplished', 'happy']","{'joy': 2, 'trust': 2, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",She'd just built her new house and it was her favorite feature.,Sara bought a lottery ticket.,0
2490,"['nervous', 'disturbed', 'annoyed']","{'joy': 0, 'trust': 0, 'fear': 2, 'surprise': 2, 'sadness': 2, 'disgust': 2, 'anger': 2, 'anticipation': 0}",Rally's girlfriend was receiving texts at odd times.,One day it went missing.,0
2491,"['curious', 'confused', 'nervous', 'worried', 'anxious']","{'joy': 0, 'trust': 0, 'fear': 2, 'surprise': 2, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",I wasn't sure what it was.,"After this project, his interest in bikes grew greatly.",0
2492,"['guilty', 'selfish', 'generous']","{'joy': 1, 'trust': 1, 'fear': 1, 'surprise': 1, 'sadness': 1, 'disgust': 1, 'anger': 1, 'anticipation': 0}","Maria hated the idea of a bag of trash in her car, but she felt moved.",Ivan tied the balloons to himself and said farewell to the earth.,0
2493,"['proud', 'hopeful', 'thankful', 'happy', 'positive', 'driven', 'same']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",She bought a stand on Amazon for $99.,I was hoping my new makeup was here.,0
2494,"['frustrated', 'annoyed']","{'joy': 0, 'trust': 0, 'fear': 1, 'surprise': 2, 'sadness': 1, 'disgust': 2, 'anger': 1, 'anticipation': 1}",But the sink in the basement wouldn't drain.,The coach had to call the medic to take him to the emergency room.,0
2495,"['sad', 'rejected', 'fear']","{'joy': 0, 'trust': 0, 'fear': 1, 'surprise': 0, 'sadness': 2, 'disgust': 0, 'anger': 1, 'anticipation': 0}",He never told anyone that it was because he was ill.,Kate was the best in the class.,0
2496,"['sad', 'dejected']","{'joy': 0, 'trust': 0, 'fear': 1, 'surprise': 0, 'sadness': 3, 'disgust': 0, 'anger': 1, 'anticipation': 0}",Kenneth fell into a big depression.,"In fact, she prefers to leave and be alone for awhile.",0
2497,"['protective', 'relieved']","{'joy': 1, 'trust': 1, 'fear': 1, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",Bill's dad opened the closet door and turned on the light.,I could not afford any more supplies.,0
2498,"['relieved', 'happy', 'helpful', 'needed', 'thankful', 'trust']","{'joy': 1, 'trust': 2, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",Lynsey made terrible grades and couldn't get into college.,"Luckily, his friend lived nearby.",1
2499,"['happy', 'excited', 'exhilarated', 'joy']","{'joy': 3, 'trust': 1, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}",They just had to eat and chat under the shelter!,I caught the wave and felt on top of the world.,1
2500,"['joyful', 'satisfied', 'anticipation']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}","So on her next test, she failed a question, got a B and was happy.",He goes to the local public pool.,1
2501,"['happy', 'responsible', 'positive']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}",Tom would gather them up and take them to recycle.,She shut off all the lights in her house and walked to the door.,0
2502,"['safe', 'competent', 'satisfied']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",John was out of food and water.,Aly regularly babysat a two year old.,1
2503,"['nervous', 'fear', 'curious', 'scared', 'urgency', 'surprised']","{'joy': 1, 'trust': 0, 'fear': 2, 'surprise': 2, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",I bought a supplement that promised to cure her.,"Suddenly, she realized she was out of time and the baby was imminent.",1
2504,"['flirty', 'intrigued', 'helpful', 'grateful', 'happy', 'loved', 'accomplished', 'attractive']","{'joy': 2, 'trust': 2, 'fear': 0, 'surprise': 2, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",Angela's essay was so good that it won!,Tina got more than enough money to buy the magic staff.,1
2505,"['nervous', 'annoyed', 'disgusting', 'frustrated']","{'joy': 0, 'trust': 0, 'fear': 1, 'surprise': 1, 'sadness': 1, 'disgust': 1, 'anger': 0, 'anticipation': 2}",I've been trying to quit biting my nails.,Her parents brought her to her appointment regardless.,0
2506,"['strong', 'proud']","{'joy': 3, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",She made the body from mahogany and the neck from maple.,Now Will is in the best shape of his life.,1
2507,"['boastful', 'nervous', 'embarrassed']","{'joy': 0, 'trust': 1, 'fear': 2, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 3}","He said he was really good at it to impress her, but he really wasn't.","I began to cry, thinking I would be fired.",0
2508,"['helpless', 'disappointed', 'frisky', 'panicked', 'ambivalent']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",She got out of bed and got an extra comforter.,The kitten scratched up her leather couch while she was gone.,1
2509,"['dominant', 'confused']","{'joy': 1, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 1, 'disgust': 0, 'anger': 1, 'anticipation': 1}",They were glad to have me home.,No sane dog chases a pack of wild coyotes.,1
2510,"['excited', 'happy', 'rich']","{'joy': 3, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 3}",He cashed it and went shopping.,I walked through the house and cleaned the windows.,0
2511,"['competitive', 'tired', 'determined', 'hopeful', 'doomed']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",One side took an early lead but slowly began to lose.,Susie downloaded a new game on her phone.,0
2512,"['refreshed', 'relieved', 'appeased', 'fulfilled']","{'joy': 3, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 1, 'anger': 0, 'anticipation': 0}",Corinne walked out very slowly repeating her single line to herself.,He is glad that he showered.,1
2513,"['hopeful', 'anxious']","{'joy': 2, 'trust': 1, 'fear': 2, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 3}",He immediately punched her in the face.,He decided to take her out to a romantic dinner.,1
2514,"['sad', 'cold']","{'joy': 0, 'trust': 0, 'fear': 2, 'surprise': 1, 'sadness': 2, 'disgust': 0, 'anger': 1, 'anticipation': 2}",Ida was shivering.,His mother put him on time out for an hour.,0
2515,"['upset', 'defeated', 'injured', 'frustrated', 'disappointed', 'happy', 'excited', 'determined']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 2, 'disgust': 1, 'anger': 1, 'anticipation': 1}",He said he would stop but didn't.,Unfortunately within minutes we were overrun by ants.,1
2516,"['anxious', 'bummed', 'nervous', 'scared']","{'joy': 0, 'trust': 0, 'fear': 1, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}",He tried looking all over the pool for it.,Mila was working on a sewing project.,0
2517,"['tired', 'bored', 'anxious', 'studious']","{'joy': 1, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",Now Mike doesn't have any money.,Kurt sat quietly in the meeting.,1
2518,['curious'],"{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",She had to clean it all up.,Karen decided to text that question to her sister.,1
2519,"['glad', 'happy', 'curious']","{'joy': 1, 'trust': 1, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}",Josh went to the dentist.,My brother bought a salamander from the pet store.,1
2520,"['worried', 'shy']","{'joy': 0, 'trust': 0, 'fear': 2, 'surprise': 2, 'sadness': 2, 'disgust': 1, 'anger': 1, 'anticipation': 2}",Jenny's mom rushed her out of the bed.,Will had forgotten his wallet.,1
2521,"['interested', 'expectant', 'hopeful', 'anxious']","{'joy': 1, 'trust': 2, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",She didn't know where they went.,"He waited for a fish, patiently.",1
2522,"['happy', 'amused']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}",He never learned how to blow them.,The conductor did not notice.,1
2523,"['bad', 'scared', 'betrayed', 'angry']","{'joy': 0, 'trust': 0, 'fear': 2, 'surprise': 2, 'sadness': 3, 'disgust': 3, 'anger': 3, 'anticipation': 2}",Gary felt a sense of warmth at that moment that kept him feeling alive,He was innocent.,1
2524,"['fortunate', 'concerned', 'surprised', 'relieved', 'elated']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",She discovered she was tapped out of stories.,"Luckily, someone spotted it on the ground.",1
2525,"['happy', 'elated']","{'joy': 3, 'trust': 1, 'fear': 0, 'surprise': 2, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}","However, he could not get his teacher's attention.",Becca beamed with joy seeing a yes on her pregnancy test.,1
2526,"['sad', 'concerned', 'sick', 'unwell']","{'joy': 0, 'trust': 0, 'fear': 2, 'surprise': 1, 'sadness': 2, 'disgust': 1, 'anger': 0, 'anticipation': 1}",She really wanted to see her child.,Gina has a sick puppy.,1
2527,['accomplished'],"{'joy': 2, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",She entered it into a contest.,She teaches Speech class at her school.,0
2528,"['foolish', 'frustrated']","{'joy': 0, 'trust': 0, 'fear': 1, 'surprise': 1, 'sadness': 1, 'disgust': 1, 'anger': 1, 'anticipation': 2}",He accidentally put the papers there instead of the fax.,"When they got to the building's wall, Jerome felt nervous.",0
2529,"['wistful', 'happy', 'nostalgic']","{'joy': 2, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 1, 'disgust': 0, 'anger': 0, 'anticipation': 0}","He met a girl who did, too.",This was way back when I was in high school.,1
2530,"['worried', 'sad', 'afraid', 'scared', 'sick', 'hurt']","{'joy': 0, 'trust': 0, 'fear': 2, 'surprise': 1, 'sadness': 1, 'disgust': 0, 'anger': 0, 'anticipation': 1}",Their babysitter informed them that their kid fell.,I dreamed I was back at work.,0
2531,"['annoyed', 'frustrated', 'angry', 'dehydrated', 'exhausted']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 1, 'anger': 1, 'anticipation': 1}",Johnny wants to find a way to cool down on a hot day.,All the sudden she saw something outside.,0
2532,"['predatory', 'fear', 'nervous', 'alert', 'angry', 'to', 'ashamed', 'calm', 'terrified', 'scared']","{'joy': 0, 'trust': 0, 'fear': 1, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",He called the police.,By the time I finished ordering the counter was full of popcorn.,0
2533,"['scared', 'fear', 'annoyed', 'stunned']","{'joy': 0, 'trust': 0, 'fear': 2, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 1, 'anticipation': 0}",This Sunday I decided to try a new place.,He acts quickly to avoid the cat.,1
2534,"['eager', 'excited', 'excitement', 'anticipation']","{'joy': 2, 'trust': 2, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",I learned to be more careful with the glue.,John and his wife had tickets for an upcoming play.,1
2535,"['loved', 'wanted', 'excited', 'eager', 'energetic', 'playful', 'ready']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",He said to meet him at the basketball court nearby.,The father got him to keep practicing.,0
2536,"['apologetic', 'full', 'disappointed', 'grateful', 'disappointing']","{'joy': 1, 'trust': 1, 'fear': 0, 'surprise': 1, 'sadness': 1, 'disgust': 1, 'anger': 0, 'anticipation': 0}",He did this until he was 80 years old.,June ate a burger and fries for dinner.,1
2537,"['proud', 'guilty', 'confident', 'uncertain', 'anticipatory', 'fear', 'conflicted']","{'joy': 1, 'trust': 1, 'fear': 1, 'surprise': 1, 'sadness': 1, 'disgust': 1, 'anger': 1, 'anticipation': 1}",He'd take his daughter along and she would watch him steal.,He put down his work and ran up the stairs.,0
